门,纲,目,科,属,种,缩写,序列号
Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa,Aphanocapsa lilacina,Aphli,GCA_019359725.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Desertifilaceae,Desertifilum,Desertifilum sp.,Dessp,GCA_021208125.1
Cyanobacteria,Cyanophyceae,Synechococcales,Pseudanabaenaceae,Pseudanabaena,Pseudanabaena?sp.42896M_M3,Psesp4,GCA_021299235.1
Cyanobacteria,Cyanophyceae,Synechococcales,Thermosynechococcaceae,Thermosynechococcaceae,Thermosynechococcaceae cyanobacteriumMS004,Thecy,GCA_022402525.1
Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Rivularia,Rivularia sp.ALOHA_DT_140,RivspA,GCA_022968935.1
Cyanobacteria,Cyanophyceae,Nostocales,Gloeotrichiaceae,Gloeotrichia,Gloeotrichia echinulata,Gloec,GCA_023657325.1
Cyanobacteria,CyFnophyceFe,Gloeomargaritales,Gloeomargaritaceae,Gloeomargarita,Gloeomargarita sp.SKYG98,Glosp9,GCA_025054555.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Oscillatoriaceae,Oscillatoriaceae,Oscillatoriaceae bacterium?SKYG93,Oscba,GCA_025054815.1
Cyanobacteria,Oscillatoriophycideae,Chroococcales,Chroococcaceae,Geminocystis,Geminocystis sp.,Gemsp,GCA_025055395.1
Cyanobacteria,Cyanophyceae,Gloeomargaritales,Gloeomargaritaceae,Gloeomargarita,Gloeomargarita sp.SKYG116,Glosp1,GCA_025056115.1
Cyanobacteria,Cyanophyceae,Gloeomargaritales,Gloeomargaritaceae,Gloeomargarita,Gloeomargarita sp.SKYB31,GlospB3,GCA_025060435.1
Cyanobacteria,Cyanophyceae,Gloeomargaritales,Gloeomargaritaceae,Gloeomargarita,Gloeomargarita sp.SKYB120,GlospB1,GCA_025062155.1
Cyanobacteria,Cyanophyceae,Synechococcales,Coelosphaeriaceae,Woronichinia,Woronichinia naegeliana,Worna,GCA_025370055.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Laspinemataceae,Laspinema,Laspinema sp.D2a,Lassp,GCA_025370845.1
Cyanobacteria,Cyanophyceae,Synechococcales,Oculatellaceae,Oculatella,Oculatella ceaecyanobacterium?Prado106,Ocuce,GCA_025454315.1
Cyanobacteria,Cyanophyceae,Synechococcales,Oculatellaceae,Elainella,Elainella?sp.Prado103,ElaspP,GCA_025454395.1
Cyanobacteria,Cyanophyceae,Synechococcales,Thermosynechococcaceae,Thermosynechococcus,Thermosynechococcus?sp.,Thesp,GCA_025999095.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Coleofasciculaceae,Coleofasciculus,uncultured Coleofasciculussp.,uncCo,GCA_902805485.1
Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,Gloeobacter violaceus,Glovi,GCF_000011385.1
Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus elongatus?PCC7942,Synsl,GCF_000012525.1
Cyanobacteria,Deltaproteobacteria,Desulauromonadales,Geobacteraceae,Geobacter,Geobacter metallireducens,Geome,GCF_000012925.1
Cyanobacteria,Deltaproteobacteria,Desulauromonadales,Geobacteraceae,Citriaermentans,Citriaermentans bemidjiense,Citbe,GCF_000020725.1
